,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Legendary
0,Grass,Poison,45,128,49,65,65,45,False
1,Grass,Poison,60,141,63,80,80,60,False
2,Grass,Poison,80,161,83,100,100,80,False
3,Grass,Poison,80,179,123,122,120,80,False
4,Fire,,39,131,43,60,50,65,False
5,Fire,,58,143,58,80,65,80,False
6,Fire,Flying,78,163,78,109,85,100,False
7,Fire,Dragon,78,209,111,130,85,100,False
8,Fire,Flying,78,183,78,159,115,100,False
9,Water,,44,127,65,50,64,43,False
10,Water,,59,142,80,65,80,58,False
11,Water,,79,162,100,85,105,78,False
12,Water,,79,182,120,135,115,78,False
13,Bug,,45,109,35,20,20,45,False
14,Bug,,50,99,55,25,25,30,False
15,Bug,Flying,60,124,50,90,80,70,False
16,Bug,Poison,40,114,30,20,20,50,False
17,Bug,Poison,45,104,50,25,25,35,False
18,Bug,Poison,65,169,40,45,80,75,False
19,Bug,Poison,65,229,40,15,80,145,False
20,Normal,Flying,40,124,40,35,35,56,False
21,Normal,Flying,63,139,55,50,50,71,False
22,Normal,Flying,83,159,75,70,70,101,False
23,Normal,Flying,83,159,80,135,80,121,False
24,Normal,,30,135,35,25,35,72,False
25,Normal,,55,160,60,50,70,97,False
26,Normal,Flying,40,139,30,31,31,70,False
27,Normal,Flying,65,169,65,61,61,100,False
28,Poison,,35,139,44,40,54,55,False
29,Poison,,60,164,69,65,79,80,False
30,Electric,,35,134,40,50,50,90,False
31,Electric,,60,169,55,90,80,110,False
32,Ground,,50,154,85,20,30,40,False
33,Ground,,75,179,110,45,55,65,False
34,Poison,,55,126,52,40,40,41,False
35,Poison,,70,141,67,55,55,56,False
36,Poison,Ground,90,171,87,75,85,76,False
37,Poison,,46,136,40,40,40,50,False
38,Poison,,61,151,57,55,55,65,False
39,Poison,Ground,81,181,77,85,75,85,False
40,Fairy,,70,124,48,60,65,35,False
41,Fairy,,95,149,73,95,90,60,False
42,Fire,,38,120,40,50,65,65,False
43,Fire,,73,155,75,81,100,100,False
44,Normal,Fairy,115,124,20,45,25,20,False
45,Normal,Fairy,140,149,45,85,50,45,False
46,Poison,Flying,40,124,35,30,40,55,False
47,Poison,Flying,75,159,70,65,75,90,False
48,Grass,Poison,45,129,55,75,65,30,False
49,Grass,Poison,60,144,70,85,75,40,False
50,Grass,Poison,75,159,85,110,90,50,False
51,Bug,Grass,35,149,55,45,55,25,False
52,Bug,Grass,60,174,80,60,80,30,False
53,Bug,Poison,60,134,50,40,55,45,False
54,Bug,Poison,70,144,60,90,75,90,False
55,Ground,,10,134,25,35,45,95,False
56,Ground,,35,159,50,50,70,120,False
57,Normal,,40,124,35,40,40,90,False
58,Normal,,65,149,60,65,65,115,False
59,Water,,50,131,48,65,50,55,False
60,Water,,80,161,78,95,80,85,False
61,Fighting,,40,159,35,35,45,70,False
62,Fighting,,65,184,60,60,70,95,False
63,Fire,,55,149,45,70,50,60,False
64,Fire,,90,189,80,100,80,95,False
65,Water,,40,129,40,40,40,90,False
66,Water,,65,144,65,50,50,90,False
67,Water,Fighting,90,174,95,70,90,70,False
68,Psychic,,25,99,15,105,55,90,False
69,Psychic,,40,114,30,120,70,105,False
70,Psychic,,55,129,45,135,95,120,False
71,Psychic,,55,129,65,175,95,150,False
72,Fighting,,70,159,50,35,35,35,False
73,Fighting,,80,179,70,50,60,45,False
74,Fighting,,90,209,80,65,85,55,False
75,Grass,Poison,50,154,35,70,30,40,False
76,Grass,Poison,65,169,50,85,45,55,False
77,Grass,Poison,80,184,65,100,70,70,False
78,Water,Poison,40,119,35,50,100,70,False
79,Water,Poison,80,149,65,80,120,100,False
80,Rock,Ground,40,159,100,30,30,20,False
81,Rock,Ground,55,174,115,45,45,35,False
82,Rock,Ground,80,199,130,55,65,45,False
83,Fire,,50,164,55,65,65,90,False
84,Fire,,65,179,70,80,80,105,False
85,Water,Psychic,90,144,65,40,40,15,False
86,Water,Psychic,95,154,110,100,80,30,False
87,Water,Psychic,95,154,180,130,80,30,False
88,Electric,Steel,25,114,70,95,55,45,False
89,Electric,Steel,50,139,95,120,70,70,False
90,Normal,Flying,52,144,55,58,62,60,False
91,Normal,Flying,35,164,45,35,35,75,False
