,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Legendary
0,Grass,Poison,45,49,122,65,65,45,False
1,Grass,Poison,60,62,136,80,80,60,False
2,Grass,Poison,80,82,156,100,100,80,False
3,Grass,Poison,80,100,196,122,120,80,False
4,Fire,,39,52,116,60,50,65,False
5,Fire,,58,64,131,80,65,80,False
6,Fire,Flying,78,84,151,109,85,100,False
7,Fire,Dragon,78,130,184,130,85,100,False
8,Fire,Flying,78,104,151,159,115,100,False
9,Water,,44,48,138,50,64,43,False
10,Water,,59,63,153,65,80,58,False
11,Water,,79,83,173,85,105,78,False
12,Water,,79,103,193,135,115,78,False
13,Bug,,45,30,108,20,20,45,False
14,Bug,,50,20,128,25,25,30,False
15,Bug,Flying,60,45,123,90,80,70,False
16,Bug,Poison,40,35,103,20,20,50,False
17,Bug,Poison,45,25,123,25,25,35,False
18,Bug,Poison,65,90,113,45,80,75,False
19,Bug,Poison,65,150,113,15,80,145,False
20,Normal,Flying,40,45,113,35,35,56,False
21,Normal,Flying,63,60,128,50,50,71,False
22,Normal,Flying,83,80,148,70,70,101,False
23,Normal,Flying,83,80,153,135,80,121,False
24,Normal,,30,56,108,25,35,72,False
25,Normal,,55,81,133,50,70,97,False
26,Normal,Flying,40,60,103,31,31,70,False
27,Normal,Flying,65,90,138,61,61,100,False
28,Poison,,35,60,117,40,54,55,False
29,Poison,,60,85,142,65,79,80,False
30,Electric,,35,55,113,50,50,90,False
31,Electric,,60,90,128,90,80,110,False
32,Ground,,50,75,158,20,30,40,False
33,Ground,,75,100,183,45,55,65,False
34,Poison,,55,47,125,40,40,41,False
35,Poison,,70,62,140,55,55,56,False
36,Poison,Ground,90,92,160,75,85,76,False
37,Poison,,46,57,113,40,40,50,False
38,Poison,,61,72,130,55,55,65,False
39,Poison,Ground,81,102,150,85,75,85,False
40,Fairy,,70,45,121,60,65,35,False
41,Fairy,,95,70,146,95,90,60,False
42,Fire,,38,41,113,50,65,65,False
43,Fire,,73,76,148,81,100,100,False
44,Normal,Fairy,115,45,93,45,25,20,False
45,Normal,Fairy,140,70,118,85,50,45,False
46,Poison,Flying,40,45,108,30,40,55,False
47,Poison,Flying,75,80,143,65,75,90,False
48,Grass,Poison,45,50,128,75,65,30,False
49,Grass,Poison,60,65,143,85,75,40,False
50,Grass,Poison,75,80,158,110,90,50,False
51,Bug,Grass,35,70,128,45,55,25,False
52,Bug,Grass,60,95,153,60,80,30,False
53,Bug,Poison,60,55,123,40,55,45,False
54,Bug,Poison,70,65,133,90,75,90,False
55,Ground,,10,55,98,35,45,95,False
56,Ground,,35,80,123,50,70,120,False
57,Normal,,40,45,108,40,40,90,False
58,Normal,,65,70,133,65,65,115,False
59,Water,,50,52,121,65,50,55,False
60,Water,,80,82,151,95,80,85,False
61,Fighting,,40,80,108,35,45,70,False
62,Fighting,,65,105,133,60,70,95,False
63,Fire,,55,70,118,70,50,60,False
64,Fire,,90,110,153,100,80,95,False
65,Water,,40,50,113,40,40,90,False
66,Water,,65,65,138,50,50,90,False
67,Water,Fighting,90,95,168,70,90,70,False
68,Psychic,,25,20,88,105,55,90,False
69,Psychic,,40,35,103,120,70,105,False
70,Psychic,,55,50,118,135,95,120,False
71,Psychic,,55,50,138,175,95,150,False
72,Fighting,,70,80,123,35,35,35,False
73,Fighting,,80,100,143,50,60,45,False
74,Fighting,,90,130,153,65,85,55,False
75,Grass,Poison,50,75,108,70,30,40,False
76,Grass,Poison,65,90,123,85,45,55,False
77,Grass,Poison,80,105,138,100,70,70,False
78,Water,Poison,40,40,108,50,100,70,False
79,Water,Poison,80,70,138,80,120,100,False
80,Rock,Ground,40,80,173,30,30,20,False
81,Rock,Ground,55,95,188,45,45,35,False
82,Rock,Ground,80,120,203,55,65,45,False
83,Fire,,50,85,128,65,65,90,False
84,Fire,,65,100,143,80,80,105,False
85,Water,Psychic,90,65,138,40,40,15,False
86,Water,Psychic,95,75,183,100,80,30,False
87,Water,Psychic,95,75,253,130,80,30,False
88,Electric,Steel,25,35,143,95,55,45,False
89,Electric,Steel,50,60,168,120,70,70,False
90,Normal,Flying,52,65,128,58,62,60,False
91,Normal,Flying,35,85,118,35,35,75,False
92,Normal,Flying,60,110,143,60,60,100,False
93,Water,,65,45,128,45,70,45,False
94,Water,Ice,90,70,153,70,95,70,False
95,Poison,,80,80,123,40,50,25,False
96,Poison,,105,105,148,65,100,50,False
97,Water,,30,65,173,45,25,40,False
98,Water,Ice,50,95,253,85,45,70,False
99,Ghost,Poison,30,35,103,100,35,80,False
100,Ghost,Poison,45,50,118,115,55,95,False
101,Ghost,Poison,60,65,133,130,75,110,False
102,Ghost,Poison,60,65,153,170,95,130,False
103,Rock,Ground,35,45,233,30,45,70,False
104,Psychic,,60,48,118,43,90,42,False
105,Psychic,,85,73,143,73,115,67,False
106,Water,,30,105,163,25,25,50,False
107,Water,,55,130,188,50,50,75,False
108,Electric,,40,30,123,55,55,100,False
109,Electric,,60,50,143,80,80,140,False
110,Grass,Psychic,60,40,153,60,45,40,False
111,Grass,Psychic,95,95,158,125,65,55,False
