,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Legendary
0,Grass,Poison,45,49,49,137,65,45,False
1,Grass,Poison,60,62,63,152,80,60,False
2,Grass,Poison,80,82,83,172,100,80,False
3,Grass,Poison,80,100,123,194,120,80,False
4,Fire,,39,52,43,132,50,65,False
5,Fire,,58,64,58,152,65,80,False
6,Fire,Flying,78,84,78,181,85,100,False
7,Fire,Dragon,78,130,111,202,85,100,False
8,Fire,Flying,78,104,78,231,115,100,False
9,Water,,44,48,65,122,64,43,False
10,Water,,59,63,80,137,80,58,False
11,Water,,79,83,100,157,105,78,False
12,Water,,79,103,120,207,115,78,False
13,Bug,,45,30,35,92,20,45,False
14,Bug,,50,20,55,97,25,30,False
15,Bug,Flying,60,45,50,162,80,70,False
16,Bug,Poison,40,35,30,92,20,50,False
17,Bug,Poison,45,25,50,97,25,35,False
18,Bug,Poison,65,90,40,117,80,75,False
19,Bug,Poison,65,150,40,87,80,145,False
20,Normal,Flying,40,45,40,107,35,56,False
21,Normal,Flying,63,60,55,122,50,71,False
22,Normal,Flying,83,80,75,142,70,101,False
23,Normal,Flying,83,80,80,207,80,121,False
24,Normal,,30,56,35,97,35,72,False
25,Normal,,55,81,60,122,70,97,False
26,Normal,Flying,40,60,30,103,31,70,False
27,Normal,Flying,65,90,65,133,61,100,False
28,Poison,,35,60,44,112,54,55,False
29,Poison,,60,85,69,137,79,80,False
30,Electric,,35,55,40,122,50,90,False
31,Electric,,60,90,55,162,80,110,False
32,Ground,,50,75,85,92,30,40,False
33,Ground,,75,100,110,117,55,65,False
34,Poison,,55,47,52,112,40,41,False
35,Poison,,70,62,67,127,55,56,False
36,Poison,Ground,90,92,87,147,85,76,False
37,Poison,,46,57,40,112,40,50,False
38,Poison,,61,72,57,127,55,65,False
39,Poison,Ground,81,102,77,157,75,85,False
40,Fairy,,70,45,48,132,65,35,False
41,Fairy,,95,70,73,167,90,60,False
42,Fire,,38,41,40,122,65,65,False
43,Fire,,73,76,75,153,100,100,False
44,Normal,Fairy,115,45,20,117,25,20,False
45,Normal,Fairy,140,70,45,157,50,45,False
46,Poison,Flying,40,45,35,102,40,55,False
47,Poison,Flying,75,80,70,137,75,90,False
48,Grass,Poison,45,50,55,147,65,30,False
49,Grass,Poison,60,65,70,157,75,40,False
50,Grass,Poison,75,80,85,182,90,50,False
51,Bug,Grass,35,70,55,117,55,25,False
52,Bug,Grass,60,95,80,132,80,30,False
53,Bug,Poison,60,55,50,112,55,45,False
54,Bug,Poison,70,65,60,162,75,90,False
55,Ground,,10,55,25,107,45,95,False
56,Ground,,35,80,50,122,70,120,False
57,Normal,,40,45,35,112,40,90,False
58,Normal,,65,70,60,137,65,115,False
59,Water,,50,52,48,137,50,55,False
60,Water,,80,82,78,167,80,85,False
61,Fighting,,40,80,35,107,45,70,False
62,Fighting,,65,105,60,132,70,95,False
63,Fire,,55,70,45,142,50,60,False
64,Fire,,90,110,80,172,80,95,False
65,Water,,40,50,40,112,40,90,False
66,Water,,65,65,65,122,50,90,False
67,Water,Fighting,90,95,95,142,90,70,False
68,Psychic,,25,20,15,177,55,90,False
69,Psychic,,40,35,30,192,70,105,False
70,Psychic,,55,50,45,207,95,120,False
71,Psychic,,55,50,65,247,95,150,False
72,Fighting,,70,80,50,107,35,35,False
73,Fighting,,80,100,70,122,60,45,False
74,Fighting,,90,130,80,137,85,55,False
75,Grass,Poison,50,75,35,142,30,40,False
76,Grass,Poison,65,90,50,157,45,55,False
77,Grass,Poison,80,105,65,172,70,70,False
78,Water,Poison,40,40,35,122,100,70,False
79,Water,Poison,80,70,65,152,120,100,False
80,Rock,Ground,40,80,100,102,30,20,False
81,Rock,Ground,55,95,115,117,45,35,False
82,Rock,Ground,80,120,130,127,65,45,False
83,Fire,,50,85,55,137,65,90,False
84,Fire,,65,100,70,152,80,105,False
85,Water,Psychic,90,65,65,112,40,15,False
86,Water,Psychic,95,75,110,172,80,30,False
87,Water,Psychic,95,75,180,202,80,30,False
88,Electric,Steel,25,35,70,167,55,45,False
89,Electric,Steel,50,60,95,192,70,70,False
90,Normal,Flying,52,65,55,130,62,60,False
91,Normal,Flying,35,85,45,107,35,75,False
92,Normal,Flying,60,110,70,132,60,100,False
93,Water,,65,45,55,117,70,45,False
94,Water,Ice,90,70,80,142,95,70,False
95,Poison,,80,80,50,112,50,25,False
96,Poison,,105,105,75,137,100,50,False
97,Water,,30,65,100,117,25,40,False
98,Water,Ice,50,95,180,157,45,70,False
99,Ghost,Poison,30,35,30,172,35,80,False
100,Ghost,Poison,45,50,45,187,55,95,False
101,Ghost,Poison,60,65,60,202,75,110,False
102,Ghost,Poison,60,65,80,242,95,130,False
103,Rock,Ground,35,45,160,102,45,70,False
104,Psychic,,60,48,45,115,90,42,False
105,Psychic,,85,73,70,145,115,67,False
106,Water,,30,105,90,97,25,50,False
107,Water,,55,130,115,122,50,75,False
108,Electric,,40,30,50,127,55,100,False
109,Electric,,60,50,70,152,80,140,False
110,Grass,Psychic,60,40,80,132,45,40,False
111,Grass,Psychic,95,95,85,197,65,55,False
112,Ground,,50,50,95,112,50,35,False
113,Ground,,60,80,110,122,80,45,False
114,Fighting,,50,120,53,107,110,87,False
115,Fighting,,50,105,79,107,110,76,False
116,Normal,,90,55,75,132,75,30,False
117,Poison,,40,65,95,132,45,35,False
118,Poison,,65,90,120,157,70,60,False
119,Ground,Rock,80,85,95,102,30,25,False
120,Ground,Rock,105,130,120,117,45,40,False
121,Normal,,250,5,5,107,105,50,False
122,Grass,,65,55,115,172,40,60,False
123,Normal,,105,95,80,112,80,90,False
124,Normal,,105,125,100,132,100,100,False
125,Water,,30,40,70,142,25,60,False
126,Water,,55,65,95,167,45,85,False
127,Water,,45,67,60,107,50,63,False
128,Water,,80,92,65,137,80,68,False
129,Water,,30,45,55,142,55,85,False
130,Water,Psychic,60,75,85,172,85,115,False
131,Psychic,Fairy,40,45,65,172,120,90,False
132,Bug,Flying,70,110,80,127,80,105,False
133,Ice,Psychic,65,50,35,187,95,95,False
134,Electric,,65,83,57,167,85,105,False
135,Fire,,65,95,57,172,85,93,False
136,Bug,,65,125,100,127,70,85,False
137,Bug,Flying,65,155,120,137,90,105,False
138,Normal,,75,100,95,112,70,110,False
139,Water,,20,10,55,87,20,80,False
140,Water,Flying,95,125,79,132,100,81,False
141,Water,Dark,95,155,109,142,130,81,False
142,Water,Ice,130,85,80,157,95,60,False
143,Normal,,48,48,48,120,48,48,False
144,Normal,,55,55,50,117,65,55,False
145,Water,,130,65,60,182,95,65,False
146,Electric,,65,65,60,182,95,130,False
147,Fire,,65,130,60,167,110,65,False
148,Normal,,65,60,70,157,75,40,False
149,Rock,Water,35,40,100,162,55,35,False
150,Rock,Water,70,60,125,187,70,55,False
151,Rock,Water,30,80,90,127,45,55,False
