,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Legendary
0,Grass,Poison,45,49,49,65,136,45,False
1,Grass,Poison,60,62,63,80,151,60,False
2,Grass,Poison,80,82,83,100,171,80,False
3,Grass,Poison,80,100,123,122,191,80,False
4,Fire,,39,52,43,60,121,65,False
5,Fire,,58,64,58,80,136,80,False
6,Fire,Flying,78,84,78,109,156,100,False
7,Fire,Dragon,78,130,111,130,156,100,False
8,Fire,Flying,78,104,78,159,186,100,False
9,Water,,44,48,65,50,135,43,False
10,Water,,59,63,80,65,151,58,False
11,Water,,79,83,100,85,176,78,False
12,Water,,79,103,120,135,186,78,False
13,Bug,,45,30,35,20,91,45,False
14,Bug,,50,20,55,25,96,30,False
15,Bug,Flying,60,45,50,90,151,70,False
16,Bug,Poison,40,35,30,20,91,50,False
17,Bug,Poison,45,25,50,25,96,35,False
18,Bug,Poison,65,90,40,45,151,75,False
19,Bug,Poison,65,150,40,15,151,145,False
20,Normal,Flying,40,45,40,35,106,56,False
21,Normal,Flying,63,60,55,50,121,71,False
22,Normal,Flying,83,80,75,70,141,101,False
23,Normal,Flying,83,80,80,135,151,121,False
24,Normal,,30,56,35,25,106,72,False
25,Normal,,55,81,60,50,141,97,False
26,Normal,Flying,40,60,30,31,102,70,False
27,Normal,Flying,65,90,65,61,132,100,False
28,Poison,,35,60,44,40,125,55,False
29,Poison,,60,85,69,65,150,80,False
30,Electric,,35,55,40,50,121,90,False
31,Electric,,60,90,55,90,151,110,False
32,Ground,,50,75,85,20,101,40,False
33,Ground,,75,100,110,45,126,65,False
34,Poison,,55,47,52,40,111,41,False
35,Poison,,70,62,67,55,126,56,False
36,Poison,Ground,90,92,87,75,156,76,False
37,Poison,,46,57,40,40,111,50,False
38,Poison,,61,72,57,55,126,65,False
39,Poison,Ground,81,102,77,85,146,85,False
40,Fairy,,70,45,48,60,136,35,False
41,Fairy,,95,70,73,95,161,60,False
42,Fire,,38,41,40,50,136,65,False
43,Fire,,73,76,75,81,171,100,False
44,Normal,Fairy,115,45,20,45,96,20,False
45,Normal,Fairy,140,70,45,85,121,45,False
46,Poison,Flying,40,45,35,30,111,55,False
47,Poison,Flying,75,80,70,65,146,90,False
48,Grass,Poison,45,50,55,75,136,30,False
49,Grass,Poison,60,65,70,85,146,40,False
50,Grass,Poison,75,80,85,110,161,50,False
51,Bug,Grass,35,70,55,45,126,25,False
52,Bug,Grass,60,95,80,60,151,30,False
53,Bug,Poison,60,55,50,40,126,45,False
54,Bug,Poison,70,65,60,90,146,90,False
55,Ground,,10,55,25,35,116,95,False
56,Ground,,35,80,50,50,141,120,False
57,Normal,,40,45,35,40,111,90,False
58,Normal,,65,70,60,65,136,115,False
59,Water,,50,52,48,65,121,55,False
60,Water,,80,82,78,95,151,85,False
61,Fighting,,40,80,35,35,116,70,False
62,Fighting,,65,105,60,60,141,95,False
63,Fire,,55,70,45,70,121,60,False
64,Fire,,90,110,80,100,151,95,False
65,Water,,40,50,40,40,111,90,False
66,Water,,65,65,65,50,121,90,False
67,Water,Fighting,90,95,95,70,161,70,False
68,Psychic,,25,20,15,105,126,90,False
69,Psychic,,40,35,30,120,141,105,False
70,Psychic,,55,50,45,135,166,120,False
71,Psychic,,55,50,65,175,166,150,False
72,Fighting,,70,80,50,35,106,35,False
73,Fighting,,80,100,70,50,131,45,False
74,Fighting,,90,130,80,65,156,55,False
75,Grass,Poison,50,75,35,70,101,40,False
76,Grass,Poison,65,90,50,85,116,55,False
77,Grass,Poison,80,105,65,100,141,70,False
78,Water,Poison,40,40,35,50,171,70,False
79,Water,Poison,80,70,65,80,191,100,False
80,Rock,Ground,40,80,100,30,101,20,False
81,Rock,Ground,55,95,115,45,116,35,False
82,Rock,Ground,80,120,130,55,136,45,False
83,Fire,,50,85,55,65,136,90,False
84,Fire,,65,100,70,80,151,105,False
85,Water,Psychic,90,65,65,40,111,15,False
86,Water,Psychic,95,75,110,100,151,30,False
87,Water,Psychic,95,75,180,130,151,30,False
88,Electric,Steel,25,35,70,95,126,45,False
89,Electric,Steel,50,60,95,120,141,70,False
90,Normal,Flying,52,65,55,58,133,60,False
91,Normal,Flying,35,85,45,35,106,75,False
92,Normal,Flying,60,110,70,60,131,100,False
93,Water,,65,45,55,45,141,45,False
94,Water,Ice,90,70,80,70,166,70,False
