,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Legendary
0,Grass,Poison,45,49,49,65,65,113,False
1,Grass,Poison,60,62,63,80,80,128,False
2,Grass,Poison,80,82,83,100,100,148,False
3,Grass,Poison,80,100,123,122,120,148,False
4,Fire,,39,52,43,60,50,133,False
5,Fire,,58,64,58,80,65,148,False
6,Fire,Flying,78,84,78,109,85,168,False
7,Fire,Dragon,78,130,111,130,85,168,False
8,Fire,Flying,78,104,78,159,115,168,False
9,Water,,44,48,65,50,64,111,False
10,Water,,59,63,80,65,80,126,False
11,Water,,79,83,100,85,105,146,False
12,Water,,79,103,120,135,115,146,False
13,Bug,,45,30,35,20,20,113,False
14,Bug,,50,20,55,25,25,98,False
15,Bug,Flying,60,45,50,90,80,138,False
16,Bug,Poison,40,35,30,20,20,118,False
17,Bug,Poison,45,25,50,25,25,103,False
18,Bug,Poison,65,90,40,45,80,143,False
19,Bug,Poison,65,150,40,15,80,213,False
20,Normal,Flying,40,45,40,35,35,124,False
21,Normal,Flying,63,60,55,50,50,139,False
22,Normal,Flying,83,80,75,70,70,169,False
23,Normal,Flying,83,80,80,135,80,189,False
24,Normal,,30,56,35,25,35,140,False
25,Normal,,55,81,60,50,70,165,False
26,Normal,Flying,40,60,30,31,31,138,False
27,Normal,Flying,65,90,65,61,61,168,False
28,Poison,,35,60,44,40,54,123,False
29,Poison,,60,85,69,65,79,148,False
30,Electric,,35,55,40,50,50,158,False
31,Electric,,60,90,55,90,80,178,False
32,Ground,,50,75,85,20,30,108,False
33,Ground,,75,100,110,45,55,133,False
34,Poison,,55,47,52,40,40,109,False
35,Poison,,70,62,67,55,55,124,False
36,Poison,Ground,90,92,87,75,85,144,False
37,Poison,,46,57,40,40,40,118,False
38,Poison,,61,72,57,55,55,133,False
39,Poison,Ground,81,102,77,85,75,153,False
40,Fairy,,70,45,48,60,65,103,False
41,Fairy,,95,70,73,95,90,128,False
42,Fire,,38,41,40,50,65,133,False
43,Fire,,73,76,75,81,100,168,False
44,Normal,Fairy,115,45,20,45,25,88,False
45,Normal,Fairy,140,70,45,85,50,113,False
46,Poison,Flying,40,45,35,30,40,123,False
47,Poison,Flying,75,80,70,65,75,158,False
48,Grass,Poison,45,50,55,75,65,98,False
49,Grass,Poison,60,65,70,85,75,108,False
50,Grass,Poison,75,80,85,110,90,118,False
51,Bug,Grass,35,70,55,45,55,93,False
52,Bug,Grass,60,95,80,60,80,98,False
53,Bug,Poison,60,55,50,40,55,113,False
54,Bug,Poison,70,65,60,90,75,158,False
55,Ground,,10,55,25,35,45,163,False
56,Ground,,35,80,50,50,70,188,False
57,Normal,,40,45,35,40,40,158,False
58,Normal,,65,70,60,65,65,183,False
59,Water,,50,52,48,65,50,123,False
60,Water,,80,82,78,95,80,153,False
