Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Legendary,LogHP,SqrtHP,std_HP,std_Attack,std_Defense,std_Sp. Atk,std_Sp. Def,std_Speed,std_LogHP,std_SqrtHP,norm_HP,norm_Attack,norm_Defense,norm_Sp. Atk,norm_Sp. Def,norm_Speed,norm_LogHP,norm_SqrtHP,is_Bug,is_Dark,is_Dragon,is_Electric,is_Fighting,is_Fire,is_Ghost,is_Grass,is_Ground,is_Ice,is_Normal,is_Poison,is_Psychic,is_Rock,is_Steel,is_Water
Poison,Dragon,65,75,90,97,123,44,False,4.174387269895637,8.06225774829855,-0.16194309862554007,-0.13527983154017986,0.5075518418156442,0.7450834363267111,1.8508414034931029,-0.8481684223508326,0.014202228385670543,-0.08065459602284714,0.25196850393700787,0.3783783783783784,0.3777777777777778,0.47282608695652173,0.4904761904761905,0.22285714285714286,0.7533276906749776,0.4718010638640337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Electric,Fairy,67,58,57,81,67,101,False,4.204692619390966,8.18535277187245,-0.08380517739339642,-0.6598803612873552,-0.5431515884915527,0.2567969885441713,-0.1664254393796794,1.1225915178712507,0.09201206840339941,0.002312968127753262,0.25984251968503935,0.2864864864864865,0.23111111111111113,0.3858695652173913,0.22380952380952385,0.5485714285714286,0.7587967230081912,0.4800245477906189,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ground,,108,112,118,68,72,47,False,4.68213122712422,10.392304845413264,1.518022207865548,1.0064977920272018,1.3990577826823567,-0.13993575027914232,0.013687671591104733,-0.7444442149707229,1.3178491666271863,1.4898258863804477,0.42125984251968507,0.5783783783783785,0.5022222222222222,0.3152173913043478,0.24761904761904763,0.24,0.844957325881954,0.6274621482441495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bug,Rock,20,10,230,10,230,5,False,2.995732273553991,4.47213595499958,-1.9200463263487717,-2.1411053864558505,4.965081546149206,-1.9099741234908494,5.705261978267883,-2.1965831182922577,-3.0120277352574156,-2.500440965495173,0.07480314960629922,0.02702702702702703,0.9999999999999999,0.0,1.0,0.0,0.5406225943127096,0.2319594520384125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ground,,75,100,110,45,55,65,False,4.31748811353631,8.660254037844387,0.2287465075351781,0.636191535735078,1.1443417995775815,-0.8418475189665434,-0.5986969057095612,-0.12209897069006506,0.38161768260437373,0.32240227885503076,0.29133858267716534,0.5135135135135136,0.4666666666666667,0.19021739130434784,0.16666666666666669,0.34285714285714286,0.7791522778786859,0.5117507932069544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Psychic,Fairy,40,45,65,100,120,90,False,3.6888794541139363,6.324555320336759,-1.1386671140273354,-1.0610454722704894,-0.28843560538677765,0.8366371452859375,1.7427735369106323,0.742269424144182,-1.2323527892079675,-1.2518874654005303,0.15354330708661418,0.21621621621621623,0.26666666666666666,0.48913043478260865,0.4761904761904763,0.48571428571428565,0.6657108841785778,0.3557121467767175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Water,Psychic,95,75,180,130,80,30,False,4.553876891600541,9.746794344808963,1.0101257198566145,-0.13527983154017986,3.373106651744363,1.7521742348781997,0.30186864914435935,-1.3322147234580108,0.9885525409533672,1.0547438472058874,0.3700787401574803,0.3783783783783784,0.7777777777777778,0.6521739130434783,0.28571428571428575,0.14285714285714285,0.8218120027118011,0.5843381853735097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Normal,Flying,62,77,62,50,42,65,False,4.127134385045092,7.874007874011811,-0.2791499804737555,-0.07356212215815923,-0.3839540990510683,-0.6892580040344997,-1.0669909942336,-0.12209897069006506,-0.1071208869000908,-0.207537333177941,0.24015748031496065,0.3891891891891892,0.25333333333333335,0.21739130434782608,0.10476190476190476,0.34285714285714286,0.744800233991956,0.45922484615488096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Dragon,Fairy,75,110,110,110,105,80,False,4.31748811353631,8.660254037844387,0.2287465075351781,0.9447800826451812,1.1443417995775815,1.1418161751500249,1.20243420399828,0.39652206621048314,0.38161768260437373,0.32240227885503076,0.29133858267716534,0.5675675675675675,0.4666666666666667,0.5434782608695652,0.40476190476190477,0.42857142857142855,0.7791522778786859,0.5117507932069544,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bug,Flying,70,110,80,55,80,105,False,4.248495242049359,8.366600265340756,0.03340170445481903,0.9447800826451812,0.18915686293467543,-0.536668489102456,0.30186864914435935,1.2608904610447302,0.2044765381476564,0.12447601424341645,0.27165354330708663,0.5675675675675675,0.33333333333333337,0.24456521739130435,0.28571428571428575,0.5714285714285714,0.7667015306935548,0.4921329645730052,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Water,Ghost,55,40,50,65,85,40,False,4.007333185232471,7.416198487095663,-0.5526327047862583,-1.2153397457255408,-0.7660280737082308,-0.23148945923836856,0.4819817601151435,-0.9864673655243121,-0.4147138480962242,-0.5161065066093017,0.2125984251968504,0.1891891891891892,0.19999999999999998,0.29891304347826086,0.3095238095238096,0.19999999999999998,0.7231803996642251,0.42864044050273414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Psychic,,60,25,35,70,80,60,False,4.0943445622221,7.745966692414834,-0.35728790170589914,-1.6782225660906955,-1.243620542029684,-0.07889994430632484,0.30186864914435935,-0.29497264965691444,-0.1913096822960943,-0.29383866884231985,0.23228346456692914,0.10810810810810811,0.13333333333333333,0.3260869565217391,0.28571428571428575,0.3142857142857143,0.7388828430294488,0.4506709292845407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
